service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20,0,0,0,0,0,0,0,20220910,20221216
28,0,0,0,0,0,0,0,20220910,20221216
39,0,0,0,0,0,0,0,20220910,20221216
24,0,0,0,0,0,0,0,20220910,20221216
25,0,0,0,0,0,0,0,20220910,20221216
26,0,0,0,0,0,0,0,20220910,20221216
27,0,0,0,0,0,0,0,20220910,20221216
29,0,0,0,0,0,0,0,20220910,20221216
2,0,0,0,0,0,0,0,20220910,20221216
3,0,0,0,0,0,1,0,20220910,20221216
4,0,0,0,0,0,0,1,20220910,20221216
5,1,1,1,1,1,0,0,20220910,20221216
21,0,0,0,0,0,0,0,20220910,20221216
33,0,0,0,0,0,0,0,20220910,20221216
34,0,0,0,0,0,0,0,20220910,20221216
