stop_name,stop_lat,stop_lon,stop_id
VIRGINIA AVE NE @ TODD RD NE,33.782325,-84.355076,1
COLUMBIA DR@FLATSHOALS PKWY,33.692977,-84.260611,2
GLENDALE RD @ HATTON DR,33.787337,-84.254073,3
COVINGTON HWY @ HILLVALE RD (W),33.71842,-84.150209,4
COVINGTON HWY @ HILLVALE RD (W),33.718491,-84.150188,5
CHAPEL ST @ 7TH STREET,33.786604,-84.256086,6
BUFFINGTON RD @ FLAT SHOALS RD,33.584341,-84.510192,7
PANOLA RD @ 2538,33.713823,-84.165562,8
ALABAMA ST @ BROAD ST (FIVE POINTS STATION),33.753505,-84.391973,9
PEELER RD @ N PEACHTREE RD,33.935903,-84.294593,10
CHAMBLEE TUCKER RD@STONECREST CT,33.885597,-84.250238,11
EXECUTIVE PARK DR @ EXECUTIVE PARK DR NE,33.830004,-84.334324,12
JOSEPH E LOWERY BLVD @ BECKWITH ST SW,33.752569,-84.4176,13
JOSEPH E LOWERY BLVD@PARSONS ST SW,33.751251,-84.417762,14
JOSEPH E LOWERY BLVD @ ASHBY GRV SW,33.750004,-84.417604,15
JOSEPH E LOWERY BLVD @ FAIR ST SW,33.749212,-84.417594,16
JOSEPH E LOWERY BLVD@WESTVIEW DR SW,33.746685,-84.417803,17
JOSEPH E LOWERY BLVD@SELLS AVE SW,33.745587,-84.417784,18
W END AVE SW @ ASHBY ST SW,33.744403,-84.417246,19
W END AVE SW @ WELLBORN ST SW,33.744304,-84.415499,20
W END AVE SW @ ASHBY ST SW,33.74457,-84.417367,21
JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,33.749024,-84.417337,22
JOSEPH E LOWERY BLVD@PARSONS ST SW,33.75063,-84.417277,23
JOSEPH E LOWERY BLVD@BECKWITH ST SW,33.752027,-84.417322,24
ATLANTA STUDENT MOVEMENT BLVD @ EUHRLEE ST SW,33.749264,-84.416015,25
ATLANTA STUDENT MOVEMENT BLVD @ OGDEN ST SW,33.749236,-84.416809,26
FAIR ST SW @ JOSEPH E LOWERY BLVD,33.748985,-84.418059,27
FAIR ST SW @ ABBOTT ST SW,33.748959,-84.419167,28
FAIR ST SW @ AGNES JONES PL SW,33.748981,-84.420273,29
WINDWARD PKWY @ DEERFIELD PKWY,34.088114,-84.270253,30
FAIR ST SW @ JOSE ST SW,33.74892,-84.421694,31
FAIR ST SW@LAWTON ST SW,33.749088,-84.423135,32
FAIR ST SW@SAINT JOSE ST SW,33.749272,-84.421726,33
ATLANTA STUDENT MOVEMENT BLVD @ EUHARLEE ST SW,33.749192,-84.416048,34
FAIR ST SW@AGNES JONES PL SW,33.749162,-84.420461,35
JOSEPH E LOWERY BLVD@MITCHELL ST SW,33.753318,-84.417466,36
JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR,33.754524,-84.417346,37
MARTIN LUTHER KING J@CHICAMAUGA AVE,33.75369,-84.432088,38
MARTIN LUTHER KING J DR SW@CERRO ST,33.753549,-84.429794,39
MARTIN LUTHER KING J DR SW@BURBANK,33.753443,-84.428174,40
HOLDERNESS ST SW @ FAIR ST SW,33.748933,-84.426351,41
WINDWARD PKWY @ 5530,34.087265,-84.266012,42
FAIR ST SW@HOLDERNESS ST SW,33.749076,-84.426353,43
HOLDERNESS ST SW@WESTVIEW DR SW,33.747532,-84.426611,44
HOLDERNESS ST SW@WESTVIEW DR SW,33.747425,-84.426987,45
WESTVIEW DR SW@LANGHORN ST SW,33.747154,-84.427994,46
WESTVIEW DR SW@ATWOOD ST SW,33.747192,-84.429146,47
WESTVIEW DR SW@HOPKINS ST SW,33.747363,-84.430916,48
WESTVIEW DR SW@CHICAMAUGA AVE SW,33.747379,-84.432101,49
WESTVIEW DR SW @ CHICAMAUGA AVE SW,33.74728,-84.432645,50
LUCILE AVE SW @ JOSEPH E LOWERY BLVD,33.742268,-84.418137,51
LUCILE AVE SW @ PEEPLES ST SW,33.742294,-84.420334,52
