service_id,route_id,trip_id
5,1000,1000_0
5,1000,1000_1
5,1000,1000_2
5,1000,1000_3
5,1000,1000_4
5,1000,1000_5
5,1000,1000_6
5,1000,1000_7
5,1000,1000_8
5,1000,1000_9
5,1000,1000_10
5,1000,1000_11
5,1000,1000_12
5,1000,1000_13
5,1000,1000_14
5,1000,1000_15
5,1000,1000_16
5,1000,1000_17
5,1000,1000_18
5,1000,1000_19
5,1000,1000_20
5,1000,1000_21
5,1000,1000_22
5,1000,1000_23
5,1000,1000_24
5,1000,1000_25
5,1000,1000_26
5,1000,1000_27
5,1001,1001_0
5,1001,1001_1
5,1001,1001_2
5,1001,1001_3
5,1001,1001_4
5,1001,1001_5
5,1001,1001_6
5,1001,1001_7
5,1001,1001_8
5,1001,1001_9
5,1001,1001_10
5,1001,1001_11
5,1001,1001_12
5,1001,1001_13
5,1001,1001_14
5,1001,1001_15
5,1001,1001_16
5,1001,1001_17
5,1001,1001_18
5,1001,1001_19
5,1001,1001_20
5,1001,1001_21
5,1001,1001_22
5,1001,1001_23
5,1001,1001_24
5,1001,1001_25
5,1001,1001_26
5,1001,1001_27
5,1002,1002_0
5,1002,1002_1
5,1002,1002_2
5,1002,1002_3
5,1002,1002_4
5,1002,1002_5
5,1002,1002_6
5,1002,1002_7
5,1002,1002_8
5,1002,1002_9
5,1002,1002_10
5,1002,1002_11
5,1002,1002_12
5,1002,1002_13
5,1002,1002_14
5,1002,1002_15
5,1002,1002_16
5,1002,1002_17
5,1002,1002_18
5,1002,1002_19
5,1002,1002_20
5,1002,1002_21
5,1002,1002_22
5,1002,1002_23
5,1002,1002_24
5,1002,1002_25
5,1002,1002_26
5,1002,1002_27
5,1002,1002_28
5,1002,1002_29
5,1002,1002_30
5,1002,1002_31
5,1002,1002_32
5,1002,1002_33
5,1002,1002_34
5,1002,1002_35
5,1002,1002_36
5,1002,1002_37
5,1002,1002_38
5,1002,1002_39
5,1003,1003_0
5,1003,1003_1
5,1003,1003_2
5,1003,1003_3
5,1003,1003_4
5,1003,1003_5
5,1003,1003_6
5,1003,1003_7
5,1003,1003_8
5,1003,1003_9
5,1003,1003_10
5,1003,1003_11
5,1003,1003_12
5,1003,1003_13
5,1003,1003_14
5,1003,1003_15
5,1003,1003_16
5,1003,1003_17
5,1003,1003_18
5,1003,1003_19
5,1003,1003_20
5,1003,1003_21
5,1003,1003_22
5,1003,1003_23
5,1003,1003_24
5,1003,1003_25
5,1003,1003_26
5,1003,1003_27
5,1003,1003_28
5,1003,1003_29
5,1003,1003_30
5,1003,1003_31
5,1003,1003_32
5,1003,1003_33
5,1003,1003_34
5,1003,1003_35
5,1003,1003_36
5,1003,1003_37
5,1003,1003_38
5,1004,1004_0
5,1004,1004_1
5,1004,1004_2
5,1004,1004_3
5,1004,1004_4
5,1004,1004_5
5,1004,1004_6
5,1004,1004_7
5,1004,1004_8
5,1004,1004_9
5,1004,1004_10
5,1004,1004_11
5,1004,1004_12
5,1004,1004_13
5,1004,1004_14
5,1004,1004_15
5,1004,1004_16
5,1004,1004_17
5,1004,1004_18
5,1004,1004_19
5,1004,1004_20
5,1004,1004_21
5,1004,1004_22
5,1004,1004_23
5,1004,1004_24
5,1004,1004_25
5,1005,1005_0
5,1005,1005_1
5,1005,1005_2
5,1005,1005_3
5,1005,1005_4
5,1005,1005_5
5,1005,1005_6
5,1005,1005_7
5,1005,1005_8
5,1005,1005_9
5,1005,1005_10
5,1005,1005_11
5,1005,1005_12
5,1005,1005_13
5,1005,1005_14
5,1005,1005_15
5,1005,1005_16
5,1005,1005_17
5,1005,1005_18
5,1005,1005_19
5,1005,1005_20
5,1005,1005_21
5,1005,1005_22
5,1005,1005_23
5,1005,1005_24
5,1006,1006_0
5,1007,1007_0
5,1006,1006_1
5,1007,1007_1
5,1006,1006_2
5,1007,1007_2
5,1006,1006_3
5,1007,1007_3
5,1006,1006_4
5,1007,1007_4
5,1006,1006_5
5,1007,1007_5
5,1006,1006_6
5,1007,1007_6
5,1006,1006_7
5,1007,1007_7
5,1006,1006_8
5,1007,1007_8
5,1006,1006_9
5,1007,1007_9
5,1006,1006_10
5,1007,1007_10
5,1006,1006_11
5,1007,1007_11
5,1006,1006_12
5,1007,1007_12
5,1006,1006_13
5,1007,1007_13
5,1006,1006_14
5,1008,1008_0
5,1009,1009_0
5,1008,1008_1
5,1009,1009_1
5,1008,1008_2
5,1009,1009_2
5,1008,1008_3
5,1009,1009_3
5,1008,1008_4
5,1009,1009_4
5,1008,1008_5
5,1009,1009_5
5,1008,1008_6
5,1009,1009_6
5,1008,1008_7
5,1009,1009_7
5,1008,1008_8
5,1009,1009_8
5,1008,1008_9
5,1009,1009_9
5,1008,1008_10
5,1009,1009_10
5,1008,1008_11
5,1009,1009_11
5,1008,1008_12
5,1009,1009_12
5,1008,1008_13
5,1009,1009_13
5,1008,1008_14
5,1010,1010_0
5,1010,1010_1
5,1010,1010_2
5,1010,1010_3
5,1010,1010_4
5,1010,1010_5
5,1010,1010_6
5,1010,1010_7
5,1010,1010_8
5,1010,1010_9
5,1010,1010_10
5,1010,1010_11
5,1010,1010_12
5,1010,1010_13
5,1010,1010_14
5,1010,1010_15
5,1010,1010_16
5,1010,1010_17
5,1010,1010_18
5,1010,1010_19
5,1010,1010_20
5,1010,1010_21
5,1010,1010_22
5,1010,1010_23
5,1010,1010_24
5,1010,1010_25
5,1010,1010_26
5,1010,1010_27
5,1010,1010_28
5,1010,1010_29
5,1010,1010_30
5,1010,1010_31
5,1010,1010_32
5,1010,1010_33
5,1010,1010_34
5,1010,1010_35
5,1010,1010_36
5,1010,1010_37
5,1010,1010_38
5,1010,1010_39
5,1010,1010_40
5,1010,1010_41
5,1010,1010_42
5,1010,1010_43
5,1010,1010_44
5,1010,1010_45
5,1010,1010_46
5,1010,1010_47
5,1010,1010_48
5,1010,1010_49
5,1010,1010_50
5,1010,1010_51
5,1010,1010_52
5,1010,1010_53
5,1010,1010_54
5,1010,1010_55
5,1010,1010_56
5,1010,1010_57
5,1010,1010_58
5,1010,1010_59
5,1010,1010_60
5,1010,1010_61
5,1010,1010_62
5,1010,1010_63
5,1010,1010_64
5,1010,1010_65
5,1010,1010_66
5,1010,1010_67
5,1011,1011_0
5,1011,1011_1
5,1011,1011_2
5,1011,1011_3
5,1011,1011_4
5,1011,1011_5
5,1011,1011_6
5,1011,1011_7
5,1011,1011_8
5,1011,1011_9
5,1011,1011_10
5,1011,1011_11
5,1011,1011_12
5,1011,1011_13
5,1011,1011_14
5,1011,1011_15
5,1011,1011_16
5,1011,1011_17
5,1011,1011_18
5,1011,1011_19
5,1011,1011_20
5,1011,1011_21
5,1011,1011_22
5,1011,1011_23
5,1011,1011_24
5,1011,1011_25
5,1011,1011_26
5,1011,1011_27
5,1011,1011_28
5,1011,1011_29
5,1011,1011_30
5,1011,1011_31
5,1011,1011_32
5,1011,1011_33
5,1011,1011_34
5,1011,1011_35
5,1011,1011_36
5,1011,1011_37
5,1011,1011_38
5,1011,1011_39
5,1011,1011_40
5,1011,1011_41
5,1011,1011_42
5,1011,1011_43
5,1011,1011_44
5,1011,1011_45
5,1011,1011_46
5,1011,1011_47
5,1011,1011_48
5,1011,1011_49
5,1011,1011_50
5,1011,1011_51
5,1011,1011_52
5,1011,1011_53
5,1011,1011_54
5,1011,1011_55
5,1011,1011_56
5,1011,1011_57
5,1011,1011_58
5,1011,1011_59
5,1011,1011_60
5,1011,1011_61
5,1011,1011_62
5,1011,1011_63
5,1011,1011_64
5,1011,1011_65
5,1011,1011_66
5,1011,1011_67
5,1011,1011_68
5,1013,1013_0
5,1012,1012_0
5,1013,1013_1
5,1012,1012_1
5,1013,1013_2
5,1012,1012_2
5,1013,1013_3
5,1012,1012_3
5,1013,1013_4
5,1012,1012_4
5,1013,1013_5
5,1012,1012_5
5,1013,1013_6
5,1012,1012_6
5,1013,1013_7
5,1012,1012_7
5,1013,1013_8
5,1012,1012_8
5,1013,1013_9
5,1012,1012_9
5,1013,1013_10
5,1012,1012_10
5,1013,1013_11
5,1012,1012_11
5,1013,1013_12
5,1012,1012_12
5,1013,1013_13
5,1012,1012_13
5,1015,1015_0
5,1014,1014_0
5,1015,1015_1
5,1014,1014_1
5,1015,1015_2
5,1014,1014_2
5,1015,1015_3
5,1014,1014_3
5,1015,1015_4
5,1014,1014_4
5,1015,1015_5
5,1014,1014_5
5,1015,1015_6
5,1014,1014_6
5,1015,1015_7
5,1014,1014_7
5,1015,1015_8
5,1014,1014_8
5,1015,1015_9
5,1014,1014_9
5,1015,1015_10
5,1014,1014_10
5,1015,1015_11
5,1014,1014_11
5,1015,1015_12
5,1014,1014_12
5,1015,1015_13
5,1014,1014_13
5,1016,1016_0
5,1016,1016_1
5,1016,1016_2
5,1016,1016_3
5,1016,1016_4
5,1016,1016_5
5,1016,1016_6
5,1016,1016_7
5,1016,1016_8
5,1016,1016_9
5,1016,1016_10
5,1016,1016_11
5,1016,1016_12
5,1016,1016_13
5,1016,1016_14
5,1016,1016_15
5,1016,1016_16
5,1017,1017_0
5,1017,1017_1
5,1017,1017_2
5,1017,1017_3
5,1017,1017_4
5,1017,1017_5
5,1017,1017_6
5,1017,1017_7
5,1017,1017_8
5,1017,1017_9
5,1017,1017_10
5,1017,1017_11
5,1017,1017_12
5,1017,1017_13
5,1017,1017_14
5,1017,1017_15
5,1017,1017_16
5,1018,1018_0
5,1018,1018_1
5,1018,1018_2
5,1018,1018_3
5,1018,1018_4
5,1018,1018_5
5,1018,1018_6
5,1018,1018_7
5,1018,1018_8
5,1018,1018_9
5,1018,1018_10
5,1018,1018_11
5,1018,1018_12
5,1018,1018_13
5,1018,1018_14
5,1018,1018_15
5,1018,1018_16
5,1018,1018_17
5,1018,1018_18
5,1018,1018_19
5,1018,1018_20
5,1018,1018_21
5,1018,1018_22
5,1018,1018_23
5,1018,1018_24
5,1018,1018_25
5,1018,1018_26
5,1018,1018_27
5,1019,1019_0
5,1019,1019_1
5,1019,1019_2
5,1019,1019_3
5,1019,1019_4
5,1019,1019_5
5,1019,1019_6
5,1019,1019_7
5,1019,1019_8
5,1019,1019_9
5,1019,1019_10
5,1019,1019_11
5,1019,1019_12
5,1019,1019_13
5,1019,1019_14
5,1019,1019_15
5,1019,1019_16
5,1019,1019_17
5,1019,1019_18
5,1019,1019_19
5,1019,1019_20
5,1019,1019_21
5,1019,1019_22
5,1019,1019_23
5,1019,1019_24
5,1019,1019_25
5,1019,1019_26
5,1019,1019_27
5,1019,1019_28
5,1020,1020_0
5,1020,1020_1
5,1020,1020_2
5,1020,1020_3
5,1020,1020_4
5,1020,1020_5
5,1020,1020_6
5,1020,1020_7
5,1020,1020_8
5,1020,1020_9
5,1020,1020_10
5,1020,1020_11
5,1020,1020_12
5,1020,1020_13
5,1020,1020_14
5,1020,1020_15
5,1020,1020_16
5,1020,1020_17
5,1020,1020_18
5,1020,1020_19
5,1020,1020_20
5,1020,1020_21
5,1020,1020_22
5,1020,1020_23
5,1020,1020_24
5,1020,1020_25
5,1020,1020_26
5,1020,1020_27
5,1020,1020_28
5,1020,1020_29
5,1020,1020_30
5,1020,1020_31
5,1020,1020_32
5,1020,1020_33
5,1020,1020_34
5,1020,1020_35
5,1020,1020_36
5,1020,1020_37
5,1021,1021_0
5,1021,1021_1
5,1021,1021_2
5,1021,1021_3
5,1021,1021_4
5,1021,1021_5
5,1021,1021_6
5,1021,1021_7
5,1021,1021_8
5,1021,1021_9
5,1021,1021_10
5,1021,1021_11
5,1021,1021_12
5,1021,1021_13
5,1021,1021_14
5,1021,1021_15
5,1021,1021_16
5,1021,1021_17
5,1021,1021_18
5,1021,1021_19
5,1021,1021_20
5,1021,1021_21
5,1021,1021_22
5,1021,1021_23
5,1021,1021_24
5,1021,1021_25
5,1021,1021_26
5,1021,1021_27
5,1021,1021_28
5,1021,1021_29
5,1021,1021_30
5,1021,1021_31
5,1021,1021_32
5,1021,1021_33
5,1021,1021_34
5,1021,1021_35
5,1021,1021_36
5,1022,1022_0
5,1022,1022_1
5,1022,1022_2
5,1022,1022_3
5,1022,1022_4
5,1022,1022_5
5,1022,1022_6
5,1022,1022_7
5,1022,1022_8
5,1022,1022_9
5,1022,1022_10
5,1022,1022_11
5,1022,1022_12
5,1022,1022_13
5,1022,1022_14
5,1022,1022_15
5,1022,1022_16
5,1022,1022_17
5,1022,1022_18
5,1022,1022_19
5,1022,1022_20
5,1022,1022_21
5,1022,1022_22
5,1022,1022_23
5,1022,1022_24
5,1022,1022_25
5,1022,1022_26
5,1022,1022_27
5,1022,1022_28
5,1023,1023_0
5,1023,1023_1
5,1023,1023_2
5,1023,1023_3
5,1023,1023_4
5,1023,1023_5
5,1023,1023_6
5,1023,1023_7
5,1023,1023_8
5,1023,1023_9
5,1023,1023_10
5,1023,1023_11
5,1023,1023_12
5,1023,1023_13
5,1023,1023_14
5,1023,1023_15
5,1023,1023_16
5,1023,1023_17
5,1023,1023_18
5,1023,1023_19
5,1023,1023_20
5,1023,1023_21
5,1023,1023_22
5,1023,1023_23
5,1023,1023_24
5,1023,1023_25
5,1023,1023_26
5,1023,1023_27
5,1023,1023_28
5,1025,1025_0
5,1026,1026_0
5,1025,1025_1
5,1026,1026_1
5,1025,1025_2
5,1026,1026_2
5,1025,1025_3
5,1026,1026_3
5,1025,1025_4
5,1026,1026_4
5,1025,1025_5
5,1026,1026_5
5,1025,1025_6
5,1026,1026_6
5,1025,1025_7
5,1026,1026_7
5,1025,1025_8
5,1026,1026_8
5,1025,1025_9
5,1024,1024_0
5,1025,1025_10
5,1024,1024_1
5,1025,1025_11
5,1024,1024_2
5,1025,1025_12
5,1024,1024_3
5,1025,1025_13
5,1024,1024_4
5,1025,1025_14
5,1024,1024_5
5,1025,1025_15
5,1024,1024_6
5,1025,1025_16
5,1024,1024_7
5,1025,1025_17
5,1024,1024_8
5,1025,1025_18
5,1024,1024_9
5,1025,1025_19
5,1024,1024_10
5,1025,1025_20
5,1024,1024_11
5,1025,1025_21
5,1024,1024_12
5,1025,1025_22
5,1024,1024_13
5,1025,1025_23
5,1024,1024_14
5,1025,1025_24
5,1024,1024_15
5,1025,1025_25
5,1024,1024_16
5,1025,1025_26
5,1024,1024_17
5,1025,1025_27
5,1024,1024_18
5,1025,1025_28
5,1024,1024_19
5,1025,1025_29
5,1026,1026_9
5,1025,1025_30
5,1026,1026_10
5,1025,1025_31
5,1026,1026_11
5,1025,1025_32
5,1026,1026_12
5,1028,1028_0
5,1029,1029_0
5,1028,1028_1
5,1029,1029_1
5,1028,1028_2
