stop_lat,stop_lon,stop_id
33.754553,-84.469302,2987
33.753328,-84.445329,2995
33.753247,-84.445568,3115
33.754517,-84.469824,3160
33.920862,-84.344213,3597
33.823385,-84.369357,3822
33.823492,-84.369324,3852
33.92113,-84.344268,4058
33.860329,-84.339245,5491
33.859989,-84.339397,5546
33.789669,-84.387414,761
33.788828,-84.387272,777
33.781247,-84.386342,1678
33.781355,-84.386353,1728
33.765241,-84.312937,2786
33.765196,-84.313426,2787
33.774699,-84.295417,2829
33.761803,-84.340825,2846
33.750161,-84.385915,2854
33.750143,-84.385882,2885
33.761866,-84.340456,2886
33.774681,-84.295319,2887
33.677424,-84.440542,2927
33.70088,-84.428768,2928
33.736564,-84.413653,2929
33.735705,-84.413663,2937
33.700298,-84.428865,2949
33.676985,-84.440704,2950
33.772764,-84.252151,2951
33.772647,-84.251607,2952
33.845307,-84.358387,2953
33.84781,-84.367629,2954
33.847944,-84.367716,2955
33.845388,-84.358235,2956
33.772159,-84.428873,2986
33.772436,-84.428906,2988
33.771472,-84.387258,2996
33.771741,-84.387204,2997
33.81354,-84.414774,3053
33.902411,-84.281166,3113
33.902787,-84.28061,3114
33.910757,-84.35189,3158
33.910739,-84.351759,3159
33.766111,-84.387504,3292
33.766236,-84.387504,3294
33.756613,-84.403902,3371
33.756613,-84.404021,3382
33.756478,-84.41723,3517
33.756477,-84.417328,3518
33.7173,-84.42503,4523
33.716978,-84.425138,4547
33.944377,-84.357253,4833
33.756179,-84.397215,5330
33.753837,-84.391397,5331
33.749951,-84.375675,5332
33.757451,-84.352762,5333
33.775554,-84.281487,5335
33.769856,-84.228906,5338
33.769893,-84.229874,5349
33.775214,-84.282466,5357
33.757227,-84.353066,5373
33.749853,-84.37599,5379
33.754123,-84.391876,5380
33.756187,-84.397291,5381
33.640831,-84.446198,5382
33.650577,-84.448656,5383
33.748938,-84.395545,5384
33.754052,-84.391452,5404
33.758189,-84.387596,5423
33.887929,-84.305556,5424
33.887517,-84.306362,5425
33.758082,-84.387595,5426
33.753899,-84.39156,5427
33.748696,-84.395741,5428
33.650282,-84.448612,5431
33.640553,-84.446198,5467
33.931671,-84.351069,5489
33.931564,-84.35096,5490
33.640294,-84.446197,776
34.089495,-84.294218,5859
34.085826,-84.294957,5860
